Breed,Weight_kg
Samoyed,22.0
Alaskan Malamute,35.4
Miniature Pinscher,4.0
Dogue de Bordeaux,47.0
Australian Shepherd,22.2
Pomeranian,2.2
Russell Terrier,5.2
Labrador Retriever,29.7
Russell Terrier,5.4
Leonberger,53.5
Rottweiler,49.6
Siberian Husky,22.2
Poodle (Toy),2.2
Shetland Sheepdog,8.7
Collie,28.3
Bernese Mountain Dog,38.7
Anatolian Shepherd Dog,49.7
Golden Retriever,30.1
Australian Shepherd,22.8
Coton de Tulear,4.8
Labrador Retriever,32.4
Maltese,3.2
Rottweiler,50.6
Golden Retriever,29.4
English Springer Spaniel,19.7
Miniature Pinscher,4.0
Chesapeake Bay Retriever,32.3
Poodle (Toy),2.3
Papillon,3.5
Poodle (Toy),2.2
Poodle (Miniature),5.3
Portuguese Water Dog,19.7
Great Dane,67.3
Coton de Tulear,5.4
Alaskan Malamute,35.5
Flat-Coated Retriever,30.2
Border Terrier,5.6
Poodle (Toy),2.4
Great Dane,61.4
Shetland Sheepdog,10.0
West Highland White Terrier,8.0
Bichon Frise,6.4
Bullmastiff,50.6
Chesapeake Bay Retriever,31.6
American Staffordshire Terrier,25.9
Maltese,3.2
Bulldog,20.1
Cavalier King Charles Spaniel,6.2
Rottweiler,45.3
Golden Retriever,28.4
Labrador Retriever,32.0
Scottish Terrier,9.3
Maltese,3.2
Lagotto Romagnolo,14.1
Tibetan Terrier,12.4
Beagle,10.4
Papillon,3.3
Miniature Schnauzer,6.4
Golden Retriever,30.9
Boston Terrier,8.5
Pembroke Welsh Corgi,13.1
Basset Hound,22.5
Soft Coated Wheaten Terrier,15.4
Shih Tzu,5.3
German Shorthaired Pointer,24.2
Labrador Retriever,33.1
Brittany,15.0
Boxer,13.6
German Shepherd Dog,26.6
Portuguese Water Dog,20.0
German Shepherd Dog,31.5
Shiba Inu,8.5
Anatolian Shepherd Dog,42.2
Poodle (Toy),2.2
Brussels Griffon,4.1
German Shepherd Dog,37.1
Dalmatian,26.0
Bullmastiff,56.6
Soft Coated Wheaten Terrier,16.0
Lagotto Romagnolo,14.7
German Shepherd Dog,31.3
Shiba Inu,8.6
Wirehaired Pointing Griffon,19.7
Bulldog,21.4
Saint Bernard,69.0
Giant Schnauzer,32.4
Australian Shepherd,23.3
Poodle (Standard),24.5
Border Terrier,5.8
Labrador Retriever,31.6
Pekingese,6.4
Bulldog,20.4
Belgian Malinois,18.9
Beagle,10.7
Bernese Mountain Dog,48.4
Dogue de Bordeaux,48.1
Great Dane,70.8
Chesapeake Bay Retriever,31.9
Collie,29.1
Cairn Terrier,6.1
Irish Wolfhound,51.3
Golden Retriever,30.5
Dalmatian,27.8
Chesapeake Bay Retriever,29.7
Weimaraner,36.3
Golden Retriever,31.1
Soft Coated Wheaten Terrier,17.4
Italian Greyhound,4.7
Labrador Retriever,29.9
French Bulldog,12.7
Scottish Terrier,9.9
Bulldog,22.4
Old English Sheepdog,37.3
German Shepherd Dog,32.1
